Discover,12/22/2025,12/23/2025,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA4GO0GCVXKF2,-210.15,Merchandise,
Discover,12/01/2025,12/01/2025,AMAZON MKTPL*BB07348U1 AMZN.COM/BILLWA7COPRZOD6QD,53.47,Merchandise,
Discover,11/30/2025,11/30/2025,AMAZON MKTPL*BB06M7DZ2 AMZN.COM/BILLWA2YS0WI58C2K,267.91,Merchandise,
Discover,11/30/2025,11/30/2025,AMAZON MKTPL*BB0MR5DX2 AMZN.COM/BILLWA46CA3PEB9S7,233.19,Merchandise,
Discover,11/29/2025,11/29/2025,AMAZON MKTPL*B250B4UF0 AMZN.COM/BILLWA3EBTNVYL4GZ,53.19,Merchandise,
Chase,12/23/2025,12/25/2025,UNITED      0162358857797,249.48,,
Chase,12/23/2025,12/25/2025,TRAVEL GUARD GROUP INC,16.81,Travel,
Chase,12/24/2025,12/24/2025,SP PRETTY LITTER,57.24,,
Chase,12/24/2025,12/24/2025,HEYTEA-US-Rockvill WP,7.41,,
Chase,12/23/2025,12/24/2025,KANPAI BBQ,71.55,,
Chase,12/22/2025,12/23/2025,PHO AN LOI,44.99,Restaurants,
Chase,12/23/2025,12/23/2025,MALA CANTEEN,66.46,Restaurants,
Chase,12/23/2025,12/23/2025,HEYTEA-US-Rockvill WP,16.94,,
Chase,12/21/2025,12/22/2025,DD *DOORDASH WAWA,5.03,,
Chase,12/21/2025,12/22/2025,KATANA SUSHI BAR,56.85,,
Chase,12/19/2025,12/21/2025,JBC RICE NOODLES &amp; RAMEN,52.19,,
Chase,12/21/2025,12/21/2025,HEYTEA-US-Rockvill WP,16.94,,
Chase,12/17/2025,12/17/2025,Spotify USA,18.01,Entertainment,
Chase,12/16/2025,12/17/2025,KANPAI BBQ,71.55,,
Chase,12/16/2025,12/17/2025,HEYTEA-US-Rockvill WP,15.88,,
Chase,12/13/2025,12/15/2025,BOB'S SHANGHAI 66,96.59,,
Chase,12/12/2025,12/14/2025,LUCKY CORNER VIETNAMESE,48.29,Restaurants,
Chase,12/13/2025,12/14/2025,HEYTEA-US-Rockvill WP,16.94,,
Chase,12/08/2025,12/10/2025,SOUTHWES    5262111522917,5.6,,
Chase,12/06/2025,12/07/2025,HEYTEA-US-Rockvill WP,16.94,,
Chase,11/30/2025,12/03/2025,PY *MEZEH CLEMSON CORNER,26.5,,
Chase,11/30/2025,12/01/2025,DD *DOORDASH SHEETZ,1.91,Gas,
Chase,11/29/2025,12/01/2025,HELLO VIETNAM REST,55.02,,
Chase,11/29/2025,11/30/2025,HEYTEA-US-Rockvill WP,16.94,,
ActiveCash,12/23/2025,12/23/2025,ROCKVILLE ICE SKATING 3015451989 MD,38.0,,
ActiveCash,12/16/2025,12/16/2025,REI #91 ROCKVILLE ROCKVILLE MD,-26.49,,
ActiveCash,12/16/2025,12/16/2025,REI #91 ROCKVILLE ROCKVILLE MD,-37.09,,
ActiveCash,12/16/2025,12/16/2025,MICRO CENTER ROCKVILLE MD,-773.79,,
ActiveCash,12/14/2025,12/14/2025,CASH BACK REDEMPTION REF 188625818,-23.46,,
ActiveCash,12/13/2025,12/13/2025,MICRO CENTER ROCKVILLE MD,773.79,,
ActiveCash,12/01/2025,12/01/2025,STEAMGAMES.COM 4259522985425-8899642 WA,8.47,,
ActiveCash,11/29/2025,11/29/2025,MICRO CENTER ROCKVILLE MD,423.99,,
USBank,2025-12-24,2025-12-24,MARATHON 45328         ROCKVILLE     MD,36.48,,
USBank,2025-12-15,2025-12-15,ROYAL FARMS #307       FREDERICK     MD,38.29,,
USBank,2025-12-08,2025-12-08,FRONTIER JEJH4Z        720-3744390   CO,28.98,,
USBank,2025-12-08,2025-12-08,REAL-TIME REWARDS CREDIT,-28.98,,
USBank,2025-11-28,2025-11-28,SHEETZ 2249            FREDERICK     MD,33.03,Gas,
Autograph,12/02/2025,12/02/2025,STATE FARM INSURANCE BLOOMINGTON IL,10.33,Utilities,
Autograph,12/02/2025,12/02/2025,BPS*BILT RENT NEW YORK NY,1794.37,Housing,
Autograph,12/02/2025,12/02/2025,COMCAST / XFINITY BALTIMORE MD,45.0,Utilities,
Autograph,12/01/2025,12/01/2025,MINT MOBILE 8006837392 CA,175.49,,
Autograph,12/01/2025,12/01/2025,LUCKY CORNER VIETNAMES FREDERICK MD,45.85,Restaurants,
Autograph,12/01/2025,12/01/2025,ACI*FIRSTENERGY AKRON OH,58.29,Utilities,
PayPal,11/29/2025,11/29/2025,COSTCO WHSE #03,149.71,Groceries,
PayPal,11/30/2025,11/30/2025,WWW COSTCO COM,49.99,Groceries,
PayPal,12/01/2025,12/01/2025,WWW COSTCO COM,57.22,Groceries,
PayPal,12/06/2025,12/06/2025,COSTCO WHSE #03,51.92,Groceries,
PayPal,12/07/2025,12/07/2025,WWW COSTCO COM,-30.73,Groceries,
PayPal,12/09/2025,12/09/2025,H MART,34.96,Groceries,
PayPal,12/09/2025,12/09/2025,H MART FREDERICK LLC,22.22,Groceries,
PayPal,12/12/2025,12/12/2025,WAL-MART #2233,18.01,Groceries,
PayPal,12/21/2025,12/21/2025,H MART,37.92,Groceries,
PayPal,12/24/2025,12/24/2025,COSTCO WHSE #03,640.41,Groceries,
PayPal,12/24/2025,12/24/2025,H MART FREDERIC,92.11,Groceries,
PayPal,12/25/2025,12/25/2025,H MART,30.72,Groceries,
